label,trial,model,plugin_can_fire,mu,usable,carry_duration_s,final_z,lift_m,note,pad_dist_drift_mm,pad_separation_mm_mean,pad_separation_mm_range,pick_reported_holding,pick_succeeded,place_err_at_release_m,place_succeeded,q_at_stall_rad,slip_final_mm,slip_max_mm,slip_rate_mm_per_s,twist_final_deg,twist_max_deg,v_max_carry_mps,v_max_whole_trial_mps,window,z_min_during_carry,z_rest
mu0p5,1,probe_part_mu0p5_001,False,0.5,True,12.177999999999997,0.625,0.11578300000000008,,6.0925456189021645,101.74492939174392,0.3679622503018578,True,True,0.00873826641846083,True,0.40627856688353803,10.320167243120412,15.803878752079177,0.9983162189670051,18.53505667200756,30.387729414147387,0.2018082307129792,0.2018082307129792,grasp-to-release,0.624997,0.624999
mu0p5,2,probe_part_mu0p5_002,False,0.5,True,12.161999999999992,0.625,0.11581700000000006,,5.737893280534294,101.76530905139211,0.34989303822786155,True,True,0.009116435268239445,True,0.40680770356187007,10.366040302066141,15.146568143199822,0.8752647615945676,19.222713733077835,29.251499290247654,0.19711042758080216,0.19711042758080216,grasp-to-release,0.625007,0.624999
mu0p5,3,probe_part_mu0p5_003,False,0.5,True,12.11699999999999,0.625,0.11567899999999998,,5.8742962525089695,101.76379637638185,0.33999115208844444,True,True,0.009080534896139103,True,0.40734636307937294,10.464734961487338,15.592249713538672,0.8478337097539687,19.29337334479864,30.16296374945015,0.19920984409286055,0.19920984409286055,grasp-to-release,0.625001,0.624999
mu0p5,4,probe_part_mu0p5_004,False,0.5,True,12.144000000000005,0.625,0.11560800000000004,,5.86733109608079,101.76379216172835,0.27999244356054476,True,True,0.00897791390023318,True,0.4076242518547866,10.46081807722899,15.192170375187724,0.7359582268273106,19.303959301510005,29.360810904992043,0.18608744500887645,0.18608744500887645,grasp-to-release,0.624994,0.624999
mu0p5,5,probe_part_mu0p5_005,False,0.5,True,12.173000000000002,0.625,0.11575900000000006,,5.533465987965883,101.77882098527355,0.38097353910315235,True,True,0.009197585824552011,True,0.40651411322767034,10.529490925424824,14.565457675814699,0.7468377498289807,19.55204937698286,28.11377316672997,0.20160881814909523,0.20160881814909523,grasp-to-release,0.624999,0.624999
mu0p5,6,probe_part_mu0p5_006,False,0.5,True,12.157999999999959,0.625,0.11559700000000006,,6.432757739967229,101.72791288316265,0.3749711966124494,True,True,0.00861347966851957,True,0.4091919471897194,10.35682293940567,16.103791283125876,0.8952545682879166,18.366596441626044,30.864900647926575,0.19742763084562703,0.19742763084562703,grasp-to-release,0.624993,0.624999
mu0p5,7,probe_part_mu0p5_007,False,0.5,True,12.135999999999967,0.625,0.11547600000000002,,5.882157825576087,101.77580336526078,0.2949943618828428,True,True,0.009097393143093262,True,0.4072386470104576,10.40747993344912,15.883948384249283,0.5516550252071484,19.546495083109157,31.040964227964423,0.18472060653643377,0.18472060653643377,grasp-to-release,0.624999,0.624999
mu0p5,8,probe_part_mu0p5_008,False,0.5,True,12.183999999999969,0.025,0.11627900000000002,,4.434123576673898,101.72428832479257,0.3659514453339483,True,True,0.006276696264755876,True,0.40852204372470546,8.280134469870264,9.11780709815624,0.22343496185779094,13.945874368658973,15.972556479591569,0.1842681470030887,3.147366213693094,grasp-to-release,0.625016,0.624999
mu2p0,1,probe_part_mu2p0_001,False,2.0,True,12.203999999999994,0.625,0.11809900000000007,,5.514444631350386,101.78422525205603,0.3879708011531875,True,True,0.009089085322517313,True,0.4069641279325511,10.441920812948702,14.209886053760746,1.1983413958434315,19.662545406412473,27.53480843872003,0.18465064918628932,0.1954818463416828,grasp-to-release,0.624993,0.624999
mu2p0,2,probe_part_mu2p0_002,False,2.0,True,12.129000000000005,0.625,0.11873100000000003,,5.763558888604564,101.78330691375807,0.5349549154051658,True,True,0.009155768946407468,True,0.40989590420779476,10.432178523702733,14.87520075193038,1.3717789344595763,19.538008053085207,28.86111126877957,0.1968676056812401,0.1968676056812401,grasp-to-release,0.624995,0.624999
mu2p0,3,probe_part_mu2p0_003,False,2.0,True,12.158000000000015,0.025,0.11917900000000003,,2.7744369278299956,101.8168782647646,0.3679478294763925,True,True,0.0031471404480893413,True,0.40812029759788193,4.514008418420603,4.5176392470902185,0.4063113224684286,8.104994670357984,8.172938645629479,0.18461990379076962,3.297116042342103,grasp-to-release,0.624993,0.624999
mu2p0,4,probe_part_mu2p0_004,False,2.0,True,12.15700000000001,0.625,0.11998600000000004,,1.9493684560276137,101.8417052483078,0.2659769169924715,True,True,0.003821275834063806,True,0.41017539260061975,4.454687188551325,4.454687188551325,0.22860982870441382,8.49676293207477,8.497146188978691,0.18422640433866555,0.24694753107180092,grasp-to-release,0.625033,0.624999
mu2p0,5,probe_part_mu2p0_005,False,2.0,True,12.149999999999977,0.625,0.11929800000000002,,4.254010376560984,101.80711219996228,0.37896174754612844,True,True,0.00949890735821758,True,0.40715798856179236,10.534595986856282,10.534595986856282,0.609295189461986,20.275132594346807,20.275132594346807,0.18482988593473,0.18482988593473,grasp-to-release,0.624997,0.624999
mu2p0,6,probe_part_mu2p0_006,False,2.0,True,12.177999999999997,0.625,0.11685800000000002,,5.872451466956292,101.75908739859277,0.4339063012166804,True,True,0.009024585641457443,True,0.4080723408553318,10.366660199544576,15.723937673854453,1.3736533856132198,19.14601557257927,30.4132531365486,0.20913599380661768,0.20913599380661768,grasp-to-release,0.624996,0.624999
mu2p0,7,probe_part_mu2p0_007,False,2.0,True,12.119000000000028,0.025,0.11959799999999998,,0.8833759254393669,101.83943310963397,0.3149901246978004,True,True,0.000709933095439289,True,0.40681405738011794,1.2024813175224696,1.207434795799657,0.09153372018427848,1.1834423815080946,1.1944620578971903,0.18421087093473906,3.193791845588263,grasp-to-release,0.625,0.624999
mu2p0,8,probe_part_mu2p0_008,False,2.0,True,12.098000000000013,0.625,0.11639,,5.933390234266426,101.77153527296832,0.46394027962070084,True,True,0.00895895713797093,True,0.4077602208336077,10.420857017310443,14.876672453210409,1.1802821572467586,19.34440714695731,28.7207701942162,0.20302739708518883,0.20302739708518883,grasp-to-release,0.624997,0.624999
plugin_control,1,workpiece,True,1.0,True,12.124000000000002,0.625,0.11873100000000003,,5.859215088400475,101.75586519714449,0.32996780302926254,True,True,0.009111680031695558,True,0.40718450957674474,10.455888864676588,15.411493526409483,1.511276866767065,19.276519520896,29.738434178178245,0.20836679197995428,0.20836679197995428,grasp-to-release,0.624994,0.624999
plugin_control,2,workpiece,True,1.0,True,12.182999999999993,0.625,0.11933300000000002,,2.140068636951497,101.80024397937709,0.5809866438315368,True,True,0.002619846751243283,True,0.41058648579573004,3.4912163412061843,3.491893737164803,0.3123624851746855,6.1791411807846846,6.179900123090408,0.19265301366314208,0.21549500867869062,grasp-to-release,0.624997,0.624999
plugin_control,3,workpiece,True,1.0,True,12.191000000000003,0.025,0.11956299999999997,,1.6833457838408776,101.82634004584854,0.31696818636220314,True,True,0.0009541849925460156,True,0.4070805985969296,2.242260670281173,2.2428572111588765,0.2133469388927006,1.9543049414012625,1.9794989216237182,0.20118073342193626,3.352626466269075,grasp-to-release,0.624995,0.624999
plugin_control,4,workpiece,True,1.0,True,12.183999999999997,0.625,0.11937300000000006,,2.151103929247853,101.81014082910622,0.37696774222833085,True,True,0.0020669213821526817,True,0.406062566738211,3.266584222075094,3.2679882175939987,0.2904600854834792,5.214935340387624,5.218160061233999,0.20662220623908673,0.25422695272190854,grasp-to-release,0.624998,0.624999
plugin_control,5,workpiece,True,1.0,True,12.162999999999982,0.625,0.11921300000000001,,1.594931940777414,101.80247258730243,0.2889684899819258,True,True,0.0022948196007529756,True,0.4078185309114319,2.9005095810860695,2.9012455784991826,0.25945488122130506,4.959707664120245,4.960662445139492,0.20643512670673766,0.2545580411149706,grasp-to-release,0.625006,0.624999
plugin_control,6,workpiece,True,1.0,True,12.137999999999977,0.625,0.11919500000000005,,1.8693871779141915,101.82332471187912,0.40498285050129823,True,True,0.002232912000057318,True,0.4063502682723808,3.165348222945384,3.1667612031952803,0.24063357364195337,5.096919814958133,5.099563377353744,0.19847359832120084,0.2817874928659697,grasp-to-release,0.624998,0.624999
plugin_control,7,workpiece,True,1.0,True,12.189000000000021,0.625,0.11954100000000001,,0.5683400032350079,101.83726961495022,0.32299226490458466,True,True,0.00016065490966665096,True,0.4068229549154781,0.6302038329119695,0.6332622845926247,0.0339564078139548,0.1639623730686794,0.4870784274217785,0.18419831093498934,0.32325635393608554,grasp-to-release,0.624989,0.624999
plugin_control,8,workpiece,True,1.0,True,12.174999999999955,0.625,0.11883500000000002,,5.137597361416894,101.75962539617811,0.3689451292767387,True,True,0.009266380091492027,True,0.40777226565519326,10.499597050942446,12.822599293108905,1.3283810187394958,19.692481397252635,24.541471552811682,0.20398762557784209,0.20810186217697793,grasp-to-release,0.625007,0.624999
plugin_off,1,probe_part_plugin_off_001,False,1.0,True,12.124000000000002,0.625,0.11646800000000002,,5.868220854333913,101.77022854161353,0.49294072263457167,True,True,0.009097207098884817,True,0.40726383566633756,10.487021654097727,15.380950891412747,1.3349793788414435,19.41326621072025,29.737393689494382,0.19592585880580096,0.19592585880580096,grasp-to-release,0.624995,0.624999
plugin_off,2,probe_part_plugin_off_002,False,1.0,True,12.168000000000006,0.625,0.11921900000000007,,1.1479943296923665,101.8518005413123,0.2809837612587103,True,True,0.0015339530631671603,True,0.4072677952999046,1.9331752088967284,1.9339733526044378,0.1726973107726363,3.0939492962112722,3.0980378517952425,0.20707620268645485,0.21634852711581015,grasp-to-release,0.624997,0.624999
