label,trial,commanded_grasp_height_m,pad_offset_vs_com_mm,pad_face_engaged_mm,twist_max_deg,slip_max_mm,a_integral_mps,a_pad_peak_mps2,a_pad_rms_mps2,a_peak_mps2,a_rms_mps2,a_samples,carry_duration_s,engaged_centroid_vs_com_mm,final_z,finger_tip_above_surface_mm,lift_m,measured,model,mu,note,pad_centre_above_surface_mm,pad_dist_drift_mm,pad_lateral_x_mm,pad_separation_mm_mean,pad_separation_mm_range,part_com_above_surface_mm,pick_reported_holding,pick_succeeded,place_err_at_release_m,place_succeeded,plugin_can_fire,predicted_offset_vs_com_mm,q_at_stall_rad,slip_final_mm,slip_rate_mm_per_s,twist_final_deg,usable,v_max_carry_mps,v_max_whole_trial_mps,wall_s,window,z_min_during_carry,z_rest
corrected,1,0.0058,0.16549349095151822,37.50000000000001,0.7751524744754467,2.5429051971874252,0.6127514477631367,0.1201612213313668,0.05046534281463666,0.14214206119647735,0.05069088747213242,1721,12.088000000000001,0.16449349095151028,0.025,5.162924372628885,0.132073,True,probe_part_corrected_001,1.0,,25.16449349095151,1.5858025519050045,0.08668724861521371,101.5678656054095,0.799829321928101,24.998999999999995,True,True,0.0008414618232575717,True,False,0.04989405803009633,0.407322058514374,2.5429051971874252,0.215168802639635,0.5350961072453014,True,0.19365474432598379,3.3024194518731695,64.4,grasp-to-release,0.624999,0.624999
corrected,2,0.0058,0.16416371182870204,37.50000000000001,0.9048938046117413,2.403064246072447,0.5719897422688768,0.11999429246640153,0.04742016316560089,0.12064760087088518,0.047440469625020874,1355,12.057000000000002,0.22816371182867584,0.625,5.216097030273814,0.13205200000000006,True,probe_part_corrected_002,1.0,,25.228163711828678,1.5620312301654735,0.0025720264544282223,101.48787403115105,0.8548255692982707,25.063999999999975,True,True,0.0007143514541176195,True,False,-0.07648360661834802,0.4153728754934928,2.3985187266627848,0.1850807399307388,0.5923380864496014,True,0.1947590658994906,0.6604111176311831,49.8,grasp-to-release,0.62506,0.624999
corrected,3,0.0058,0.16558984541859,37.50000000000001,4.527890886983304,2.2306855948316655,0.6154678054209736,0.12049006241196036,0.047225112242253765,0.30806003378520336,0.05094932164080914,1602,12.079999999999984,0.24258984541860457,0.624998,5.228096759420486,0.132764,True,probe_part_corrected_003,1.0,,25.242589845418607,1.2366354752487752,-0.005306957083173192,101.5483727197253,0.7320535151521312,25.077000000000016,True,True,0.0012718058027859345,True,False,-0.07358297900302707,0.41518561937944237,2.2302372339094387,0.18115732913798746,4.42407393426042,True,0.19551996203854055,0.6787355027198745,58.1,grasp-to-release,0.625049,0.624999
corrected,4,0.0058,0.2174129799059621,37.50000000000001,7.576852354177437,3.701161392675369,0.643838523741853,0.11943746362674106,0.048195000082323566,0.22599477877764887,0.053165856626082066,1523,12.109999999999985,0.2534129799060189,0.025,5.240096759420387,0.13261,True,probe_part_corrected_004,1.0,,25.25341297990602,1.2724322615456458,0.005213904242074019,101.65504351547064,0.8502589785259715,25.036000000000058,True,True,0.003386595931019819,True,False,-0.07858357253714282,0.41550851781980425,3.701161392675369,0.2743104559978751,7.576852354177437,True,0.18645586642303588,3.3173386358644734,60.1,grasp-to-release,0.625036,0.624999
corrected,5,0.0058,0.258318311063932,37.50000000000001,10.344133834367828,2.7398707502583,0.6695250593169804,0.12038467094682048,0.046906987530148644,0.33398874543526547,0.05536467868328614,1513,12.093000000000018,0.2543183110639488,0.025,5.243096528097069,0.13287800000000005,True,probe_part_corrected_005,1.0,,25.25431831106395,1.029088649505539,0.0006491927557195076,101.33065511460502,1.5478804217915325,24.996000000000016,True,True,0.0036231925148962375,True,False,0.051724132316820215,0.40720705084357234,2.7398707502583,0.28227868006296847,9.934342976553854,True,0.21428339879599126,3.2642806342535904,55.0,grasp-to-release,0.624997,0.624999
corrected,6,0.0058,0.2759410114188121,37.50000000000001,14.202930260846959,2.661575281410912,0.6580778215537214,0.11849276890764697,0.04790424452563223,0.23876244510056116,0.054716705874592216,1756,12.027000000000015,0.2759410114188329,0.025,5.269096613013224,0.13363900000000006,True,probe_part_corrected_006,1.0,,25.275941011418833,0.5016223346664361,0.08329498725440088,101.1921983748605,1.5583856342804978,25.00000000000002,True,True,0.00026425177388243336,True,False,0.06901576762969458,0.40612254145074855,0.38109100013168834,0.19871253514971826,14.192721324855304,True,0.19610605124097946,3.2867552532418802,62.3,grasp-to-release,0.624998,0.624999
corrected,7,0.0058,0.20196468598399075,37.50000000000001,5.0692150833624625,2.685414091642136,0.6412475527592303,0.12029537704501742,0.0478133183009745,0.25726234867893577,0.05313178828065535,1668,12.069000000000017,0.20096468598398282,0.025,5.192096920468403,0.13324400000000003,True,probe_part_corrected_007,1.0,,25.200964685983983,0.8425583732632731,0.026574203559781573,101.58086444649891,0.8457636046268107,24.998999999999995,True,True,0.0023705022674530545,True,False,0.05476673923274916,0.4070159405550782,2.4534104371746612,0.12279364126084026,4.817594607642612,True,0.1951681966910484,3.2787255051676474,56.5,grasp-to-release,0.624998,0.624999
corrected,8,0.0058,0.20343063553962537,37.5,9.567311526808105,3.165576976606472,0.6247462215604921,0.11815598930679218,0.04878904922153228,0.17668947492592257,0.05185907043749405,1470,12.047000000000025,0.2754306355396037,0.025,5.259924455592868,0.13326400000000005,True,probe_part_corrected_008,1.0,,25.275430635539607,1.0721497045744712,0.006429749042524691,101.54547840618419,0.9437237837657619,25.07199999999998,True,True,0.002930471805017032,True,False,-0.10302622468948835,0.41709197362223355,3.1548878687815436,0.26204639839021215,7.585528625049766,True,0.2090200533822226,3.260779655238811,49.5,grasp-to-release,0.625063,0.624999
corrected,9,0.0058,0.2590096054804203,37.50000000000001,19.36335726472719,6.284826940604824,0.8314868272464953,0.12091362280456733,0.04804462971545926,0.5228862098361088,0.06876907015519797,1369,12.090999999999951,0.26800960548047786,0.025,5.255097033201928,0.13355800000000007,True,probe_part_corrected_009,1.0,,25.26800960548048,1.502600791577791,-0.020461812104188848,101.56005366382566,1.1311599506685468,25.009000000000057,True,True,0.005497823296542004,True,False,-0.07613007608466699,0.41535004619217863,6.181034282509363,0.1712710271649004,19.214349901290753,True,0.23581098362770947,3.221548539999737,44.9,grasp-to-release,0.625005,0.624999
corrected,10,0.0058,0.2596495167360713,37.50000000000001,4.607864570889448,3.063106970676436,0.6351223417471825,0.13153985381810857,0.05081674585387466,0.2003108625706624,0.05283440160944861,3992,12.021000000000015,0.2576495167361456,0.025,5.246096226498298,0.13176600000000005,True,probe_part_corrected_010,1.0,,25.257649516736148,2.057927578790867,0.026490273241475126,101.53299107607339,0.7779025388934855,24.998000000000076,True,True,0.0014273506927170911,True,False,0.019479013053290417,0.40923988712502135,3.0587464182321815,0.19102303059562714,2.645798340454918,True,0.2166494864911426,3.3889754351264227,170.1,grasp-to-release,0.624998,0.624999
